path,rel_path,class_name,label,split
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_1159.mp4,Violence/VIOLENCE_1159.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_608.mp4,Violence/VIOLENCE_608.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_311.mp4,Violence/VIOLENCE_311.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_611.mp4,Violence/VIOLENCE_611.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_141.mp4,Violence/VIOLENCE_141.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_694.mp4,Violence/VIOLENCE_694.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_289.mp4,Violence/VIOLENCE_289.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_960.mp4,Violence/VIOLENCE_960.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_308.mp4,Violence/VIOLENCE_308.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_1250.mp4,Violence/VIOLENCE_1250.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_555.mp4,Violence/VIOLENCE_555.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_767.mp4,Violence/VIOLENCE_767.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_695.mp4,Violence/VIOLENCE_695.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_229.mp4,Violence/VIOLENCE_229.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_1055.mp4,Violence/VIOLENCE_1055.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_1125.mp4,Violence/VIOLENCE_1125.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_551.mp4,Violence/VIOLENCE_551.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_98.mp4,Violence/VIOLENCE_98.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_344.mp4,Violence/VIOLENCE_344.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_173.mp4,Violence/VIOLENCE_173.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_413.mp4,Violence/VIOLENCE_413.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_266.mp4,Violence/VIOLENCE_266.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_638.mp4,Violence/VIOLENCE_638.mp4,Violence,1,train
/Users/jakelockitch/Desktop/violence-thesis/data/bus-violence/Violence/VIOLENCE_340.mp4,Violence/VIOLENCE_340.mp4,Violence,1,train
